missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,113968.66,0.46,533.42,0.0,46448.01,0.31,1903.38,0.0,208119.96,0.29,2970.02,0.0,1778.01,0.0,3048.11,0.0,148.21,0.0,640.12,0.0,301.97,0.08,683.97,0.05,152167.03,0.32,164.3,0.0,0.05397751299149342
1,2,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,694.77,0.46,533.42,0.31,694.77,0.31,1903.38,0.29,694.77,0.29,2970.02,0.21,1778.01,0.41,3048.11,0.34,148.21,0.14,640.12,0.33,694.77,0.08,694.77,0.05,694.77,0.32,164.3,0.1,0.1678855668834461
1,3,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,484.55,0.46,533.42,0.31,300.57,0.31,1903.38,0.29,1171.59,0.29,2970.02,0.21,1778.01,0.41,3048.11,0.34,148.21,0.14,640.12,0.33,301.97,0.08,683.97,0.05,51.19,0.32,164.3,0.1,0.1305993957378482
1,4,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,2709.35,0.46,533.42,0.31,950.0,0.31,1903.38,0.29,10957.58,0.29,2970.02,0.21,1778.01,0.41,3048.11,0.34,148.21,0.14,640.12,0.33,3999.37,0.08,3483.83,0.05,2201.85,0.32,164.3,0.1,0.1713123071032796
1,5,1,0.13137241520507745,0.18881,2.01378,0.041863393890282596,3.2264205364868763,258.41,0.46,533.42,0.31,1092.59,0.31,1903.38,0.29,9460.42,0.29,2970.02,0.21,1778.01,0.41,3048.11,0.34,148.21,0.14,640.12,0.33,3999.37,0.08,3483.83,0.05,2046.49,0.32,164.3,0.1,0.16977747300312443
2,1,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,125907.03,0.46,571.82,0.0,52279.46,0.3,2114.19,0.0,232602.78,0.29,2970.02,0.0,1967.01,0.0,3391.25,0.0,161.44,0.0,729.93,0.0,331.19,0.08,769.98,0.05,168382.36,0.35,167.77,0.0,0.05457566798240117
2,2,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,769.61,0.46,571.82,0.31,769.61,0.3,2114.19,0.29,769.61,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,769.61,0.08,769.61,0.05,769.61,0.35,167.77,0.1,0.16928565095225137
2,3,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,539.31,0.46,571.82,0.31,345.12,0.3,2114.19,0.29,800.96,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,331.19,0.08,769.98,0.05,63.23,0.35,167.77,0.1,0.1480106522516793
2,4,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,3018.23,0.46,571.82,0.31,1045.31,0.3,2114.19,0.29,12216.25,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2446.99,0.35,167.77,0.1,0.1712324997630455
2,5,1,0.1389963761439715,0.19098,2.00332,0.042419081225051385,3.233229329173167,288.78,0.46,571.82,0.31,1203.07,0.3,2114.19,0.29,10548.83,0.29,2877.52,0.29,1967.01,0.41,3391.25,0.34,161.44,0.14,729.93,0.33,4442.92,0.08,3846.59,0.05,2274.14,0.35,167.77,0.1,0.17132458079435303
