missing_value,normalization,model,outlier_bef_normalization_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,ot_Age,corr_Workclass,ot_Workclass,corr_fnlwgt,ot_fnlwgt,corr_Education,ot_Education,corr_Education_Num,ot_Education_Num,corr_Martial_Status,ot_Martial_Status,corr_Occupation,ot_Occupation,corr_Relationship,ot_Relationship,corr_Race,ot_Race,corr_Sex,ot_Sex,corr_Capital_Gain,ot_Capital_Gain,corr_Capital_Loss,ot_Capital_Loss,corr_Hours_per_week,ot_Hours_per_week,corr_Country,ot_Country,utility_sp
1,1,1,0.15062790062790063,0.30288,2.68557,0.05988358415157715,1.0357068426536993,277519.21,0.32,1083.26,0.0,93601.67,0.28,4576.0,0.0,128812.54,0.38,8426.72,0.0,4804.78,0.0,8722.57,0.0,486.76,0.0,2125.36,0.0,1074.27,0.12,1985.15,0.07,346216.01,0.27,491.14,0.0,0.16172506468649772
1,2,1,0.15062790062790063,0.30288,2.68557,0.05988358415157715,1.0357068426536993,5657.16,0.32,1083.26,0.32,5657.16,0.28,4576.0,0.52,5657.16,0.38,8426.72,0.17,4804.78,0.43,8722.57,0.48,486.76,0.13,2125.36,0.27,5657.16,0.12,5657.16,0.07,5657.16,0.27,491.14,0.1,0.46494090569713975
1,3,1,0.15062790062790063,0.30288,2.68557,0.05988358415157715,1.0357068426536993,8358.79,0.32,1083.26,0.32,4088.4,0.28,4576.0,0.52,73.9,0.38,8426.72,0.17,4804.78,0.43,8722.57,0.48,486.76,0.13,2125.36,0.27,1074.27,0.12,1985.15,0.07,609.42,0.27,491.14,0.1,0.4113051170211674
1,4,1,0.15062790062790063,0.30288,2.68557,0.05988358415157715,1.0357068426536993,192.66,0.32,1083.26,0.32,15154.02,0.28,4576.0,0.52,137.28,0.38,8426.72,0.17,4804.78,0.43,8722.57,0.48,486.76,0.13,2125.36,0.27,24923.21,0.12,23849.88,0.07,482.66,0.27,491.14,0.1,0.48316911202409185
1,5,1,0.15062790062790063,0.30288,2.68557,0.05988358415157715,1.0357068426536993,3026.19,0.32,1083.26,0.32,15893.01,0.28,4576.0,0.52,333.17,0.38,8426.72,0.17,4804.78,0.43,8722.57,0.48,486.76,0.13,2125.36,0.27,24923.21,0.12,23849.88,0.07,571.53,0.27,491.14,0.1,0.4834233091255805
2,1,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,308190.42,0.37,1204.37,0.0,104648.26,0.32,5049.25,0.0,143587.75,0.38,8426.72,0.0,5316.03,0.0,9669.05,0.0,529.55,0.0,2320.71,0.0,1197.48,0.12,2194.1,0.07,384176.59,0.26,531.49,0.0,0.16224346520411032
2,2,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,6254.12,0.37,1204.37,0.32,6254.12,0.32,5049.25,0.52,6254.12,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,6254.12,0.12,6254.12,0.07,6254.12,0.26,531.49,0.1,0.466221748457878
2,3,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,9251.89,0.37,1204.37,0.32,4608.07,0.32,5049.25,0.52,73.76,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,1197.48,0.12,2194.1,0.07,696.3,0.26,531.49,0.1,0.4369366168258935
2,4,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,202.4,0.37,1204.37,0.32,16735.6,0.32,5049.25,0.52,149.0,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,27503.09,0.12,26390.36,0.07,522.09,0.26,531.49,0.1,0.4813663516515845
2,5,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,3317.44,0.37,1204.37,0.32,17554.5,0.32,5049.25,0.52,365.26,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,27503.09,0.12,26390.36,0.07,619.65,0.26,531.49,0.1,0.4825391094376531
3,1,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,308190.42,0.37,1204.37,0.0,104648.26,0.32,5049.25,0.0,143587.75,0.38,8426.72,0.0,5316.03,0.0,9669.05,0.0,529.55,0.0,2320.71,0.0,1197.48,0.12,2194.1,0.07,384176.59,0.26,531.49,0.0,0.16224346520411032
3,2,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,6254.12,0.37,1204.37,0.32,6254.12,0.32,5049.25,0.52,6254.12,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,6254.12,0.12,6254.12,0.07,6254.12,0.26,531.49,0.1,0.466221748457878
3,3,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,9251.89,0.37,1204.37,0.32,4608.07,0.32,5049.25,0.52,73.76,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,1197.48,0.12,2194.1,0.07,696.3,0.26,531.49,0.1,0.4369366168258935
3,4,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,202.4,0.37,1204.37,0.32,16735.6,0.32,5049.25,0.52,149.0,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,27503.09,0.12,26390.36,0.07,522.09,0.26,531.49,0.1,0.4813663516515845
3,5,1,0.13998771498771498,0.30038,2.69161,0.059328961153341485,1.0408674940453804,3317.44,0.37,1204.37,0.32,17554.5,0.32,5049.25,0.52,365.26,0.38,8119.49,0.25,5316.03,0.43,9669.05,0.48,529.55,0.13,2320.71,0.27,27503.09,0.12,26390.36,0.07,619.65,0.26,531.49,0.1,0.4825391094376531
4,1,1,0.14127764127764128,0.30038,2.69161,0.059328961153341485,1.0408674940453804,308190.42,0.37,1204.37,0.0,104648.26,0.32,5049.25,0.0,143587.75,0.38,7833.82,0.0,5316.03,0.0,9669.05,0.0,529.55,0.0,2320.71,0.0,1197.48,0.12,2194.1,0.07,384176.59,0.26,531.49,0.0,0.20478559297911808
