missing_value,normalization,outlier,model,outlier_bef_normalization_strat,outlier_bef_outlier_strat,diff_sensitive_attr,ratio_sensitive_attr,cov,class_imbalance_ratio,corr_Age,corr_Workclass,corr_fnlwgt,corr_Education,corr_Education_Num,corr_Martial_Status,corr_Occupation,corr_Relationship,corr_Race,corr_Sex,corr_Capital_Gain,corr_Capital_Loss,corr_Hours_per_week,corr_Country,utility_sp
1,1,1,1,0.36800436800436803,0.36800436800436803,0.19567,2.03009,0.04326637997678508,0.43603,231321.08007,956.2172,94102.73564,4025.4625,99810.01429,5803.90182,3653.25408,5991.22194,292.33263,1350.38432,622.04155,1360.05542,311993.47238,294.92321,0.06068448365422999
1,1,2,1,0.36800436800436803,0.36800436800436803,0.20812,2.41039,0.04313424116786759,0.35655,202074.29305,639.26639,84749.8871,2840.45847,86883.09417,4669.20476,2741.27581,4811.99387,162.08064,1128.46011,543.95869,371.88666,316228.77428,185.9796,0.08033344236328756
1,1,3,1,0.36800436800436803,0.36800436800436803,0.19973,2.08988,0.043722260421121054,0.33524,187870.3408,719.33442,71792.51493,3045.26737,77289.71938,4545.19077,2790.3187,4666.7311,239.72442,1042.34977,451.63578,1018.76682,294698.56984,244.74273,0.0720722461103146
1,1,4,1,0.36800436800436803,0.36800436800436803,0.19409,2.04478,0.04281170219501448,0.40771,223142.68877,908.16237,89581.27084,3709.52447,93820.11539,5524.89951,3431.29393,5702.44542,280.02461,1239.40501,533.54234,1204.27747,320572.19355,286.38518,0.05715642980914948
1,1,5,1,0.36800436800436803,0.36800436800436803,0.19263,2.03224,0.04257755869063379,0.41109,223108.51096,877.30474,92641.87037,3775.22428,95382.60719,5564.25891,3457.92592,5731.69251,280.11448,1263.4423,529.89968,957.68324,303221.91673,279.7925,0.05680941662008229
1,1,6,1,0.36800436800436803,0.36800436800436803,0.19172,2.01148,0.042524715938069946,0.40163,220093.03968,886.12924,93147.67727,3684.87483,94391.04292,5520.08497,3407.34157,5678.8334,273.9406,1259.21548,498.19747,601.22628,298074.23009,282.58053,0.05431409248759571
1,1,7,1,0.36800436800436803,0.36800436800436803,0.18769,1.98453,0.04181862048471901,0.38106,213258.01947,833.36297,92175.21568,3539.0956,92043.42173,5276.4082,3232.31831,5430.24923,256.38121,1212.01764,452.47315,189.59347,289543.79444,267.63359,0.041083636965854625
1,2,1,1,0.36800436800436803,0.04982254982254982,0.19567,2.03009,0.04326637997678508,0.43603,1452.98072,956.2172,1452.98072,4025.4625,1452.98072,5803.90182,3653.25408,5991.22194,292.33263,1350.38432,1452.98072,1452.98072,1452.98072,294.92321,0.13025502828521612
1,2,2,1,0.36800436800436803,0.04982254982254982,0.20812,2.41039,0.04313424116786759,0.35655,2168.82481,639.26639,1830.53342,2840.45847,1704.05867,4669.20476,2741.27581,4811.99387,162.08064,1128.46011,3953.53778,7027.67446,988.72685,185.9796,0.14011098929748694
1,2,3,1,0.36800436800436803,0.04982254982254982,0.19776,2.05158,0.04357001552938075,0.33499,1155.22113,731.42601,1227.75538,3155.7069,1030.69457,4535.01557,2872.12295,4651.94505,236.21385,1043.70207,1269.80353,1153.95788,1042.78012,232.05805,0.13242449211191168
